texto	categoria
Relaxar em uma praia paradisíaca	Família
Abraçar um coala	Família
Passar o dia brincando com um panda	Família
Disputar um duelo de canto com a Ariana Grande	Família
Disputar um duelo de dança com a Rihanna	Família
Só poder assistir filmes natalinos para sempre	Família
Só poder assistir filmes de terror para sempre	Família
Sempre chegar 10 minutos atrasado	Família
Sempre chegar 20 minutos adiantado	Família
Passar uma semana sozinho na floresta	Família
Passar uma noite em uma casa mal-assombrada de verdade	Família
Encontrar um rato na sua cozinha	Família
Encontrar uma barata na sua cama	Família
Ter um botão de pausa na sua vida	Família
Ter um botão de retrocesso na sua vida	Família
Ter sempre a bateria do celular 100% carregada	Família
Ter sempre o tanque de combustível cheio	Família
Nunca comer melancia de novo	Família
Ser obrigado a comer melancia em todas as refeições	Família
Ter um cortezinho de papel toda vez que virar uma página	Família
Morder a própria língua toda vez que comer	Família
Ser figurante em um filme de terror	Família
Ficar preso no meio de uma batalha de comida	Família
Ficar preso no meio de uma batalha de balões de água	Família
Ter memória fotográfica	Família
Ter QI de 200	Família
Usar salto agulha para dormir todo dia	Família
Usar chinelos em todo lugar que for	Família
Viajar o mundo de graça por um ano	Família
Ter R$50.000 para gastar como quiser	Família
Só poder falar com o seu cachorro — e todos acharem que é louco	Família
Seu cachorro poder falar só com você — e todos acharem que é louco	Família
Ter um corte mullet por um ano	Família
Ser completamente careca por 6 meses sem perucas	Família
Ir ao futuro e conhecer seus filhos ou netos	Família
Resolver a fome no mundo	Família
Resolver o aquecimento global	Família
Usar todas as camisas do avesso para sempre	Família
Usar todas as calças ao contrário para sempre	Família
Morar em uma casa na árvore	Família
Morar em uma caverna	Família
Ganhar R$25.000	Família
Seu melhor amigo ganhar R$100.000	Família
Tirar selfies incríveis mas ficar horrível em todas as outras fotos	Família
Ser fotogênico em tudo menos nas selfies	Família
Danny DeVito te interpretar em um filme	Família
Danny Trejo te interpretar em um filme	Família
Ser o melhor do mundo em algo que ninguém leva a sério	Família
Ser mediano em algo muito respeitado	Família
Ter bateria ilimitada em todos os seus dispositivos	Família
Ter Wi-Fi grátis em qualquer lugar que for	Família
Ter o futuro da Billie Eilish	Família
Ter o legado da Madonna	Família
Fazer uma turnê com o Elton John	Família
Fazer uma turnê com a Cher	Família
Comer só pizza por um ano inteiro	Família
Não comer pizza por cinco anos	Família
Dormir em uma casinha de cachorro	Família
Deixar cachorros de rua dormirem na sua cama	Família
Falar qualquer idioma do mundo	Família
Conseguir se comunicar com animais	Família
Conseguir correr a 160 km/h	Família
Conseguir voar a 32 km/h	Família
Ter a voz da Adele	Família
Ter os passos de dança da Normani	Família
Usar moletom em todo lugar pelo resto da vida	Família
Nunca mais poder usar moletom	Família
Ter 10.000 colheres quando só precisa de uma faca	Família
Sempre ter uma faca mas nunca poder usar colheres	Família
Ser a pessoa mais engraçada de qualquer sala	Família
Ser a pessoa mais inteligente de qualquer sala	Família
Falar como o Yoda	Família
Respirar como o Darth Vader	Família
Ficar um ano sem comer sorvete	Família
Parar de xingar para sempre	Família
Ficar preso por uma semana em um quarto superiluminado	Família
Ficar preso por uma semana em um quarto totalmente escuro	Família
Ser obrigado a cantar parabéns para alguém todo dia	Família
Ter que fazer uma reverência para todo mundo que encontrar	Família
Visitar a Estação Espacial Internacional por uma semana	Família
Passar uma semana em um hotel no fundo do oceano	Família
Ter sempre sinal verde em todo semáforo	Família
Nunca mais precisar esperar em filas	Família
Nunca mais pegar resfriado	Família
Nunca mais pegar trânsito	Família
Nunca mais comer biscoitos	Família
Só poder beber água pelo resto da vida	Família
Ter uma sobrancelha única e permanente	Família
Não ter nenhuma sobrancelha	Família
Que alienígenas sejam reais mas encobertos pelo governo	Família
Que não exista nenhuma vida extraterrestre no universo	Família
Jogar basquete com o LeBron James	Família
Jogar futebol americano com o Tom Brady	Família
Só poder ouvir músicas natalinas o ano inteiro	Família
Vencer o programa Survivor	Família
Vencer um programa de namoro na TV	Família
Ter seu próprio parque temático	Família
Ter seu próprio zoológico	Família
Ser o melhor jogador de um time perdedor	Família
Ficar no banco de um time campeão	Família
Perder todos os seus dentes	Família
Perder todos os seus cabelos	Família
Só poder assistir The Office pelo resto da vida	Família
Só poder assistir Friends pelo resto da vida	Família
Perder as chaves de casa	Família
Perder o celular	Família
Morar em uma casa sem energia elétrica	Família
Morar em uma casa sem água encanada	Família
Parecer forte mas ser fraco	Família
Parecer fraco mas ser forte	Família
Usar apenas uma cor de roupa por dia para sempre	Família
Usar sete cores diferentes de roupa todos os dias	Família
Espirrar sem parar por 15 minutos uma vez por dia	Família
Espirrar uma vez a cada três minutos enquanto acordado	Família
Ver 10 anos no seu próprio futuro	Família
Ver 6 meses no futuro do mundo	Família
Tomar chá com a Rainha Elizabeth	Família
Tomar cerveja com o Príncipe Harry	Família
Sempre ter uma música irritante presa na cabeça	Família
Sempre ter uma coceira em um lugar que não consegue coçar	Família
Ser o Batman	Família
Ser o Homem de Ferro	Família
Ter R$1 milhão agora	Família
Receber R$5.000 por semana pelo resto da vida	Família
Ser rico fazendo um trabalho que odeia	Família
Ser pobre fazendo um trabalho que ama	Família
Trabalhar no emprego dos sonhos ganhando só o suficiente para pagar contas	Família
Trabalhar em um emprego bem pago que você odeia	Família
Ir aos bastidores com sua banda favorita	Família
Ser figurante no seu seriado favorito	Família
Nunca mais comer sua comida favorita	Família
Só poder comer sua comida favorita	Família
Ter tanto medo de altura que não consegue subir nem ao segundo andar	Família
Ter tanto medo de sol que só consegue sair em dias chuvosos	Família
Batalhar no rap contra a Nicki Minaj	Família
Batalhar no rap contra a Lizzo	Família
Parar de tomar café para sempre	Família
Parar de tomar refrigerante para sempre	Família
Usar apenas laranja neon por um ano	Família
Usar apenas verde neon por um ano	Família
Comer a mesma coisa em todas as refeições por um ano	Família
Correr tão rápido quanto o Flash	Família
Ser tão forte quanto o Superman	Família
Nunca ter nada preso entre os dentes	Família
Cantar karaokê com a Gwen Stefani	Família
Cantar karaokê com a Kelly Clarkson	Família
Voltar para o jardim de infância com todo conhecimento que tem hoje	Família
Saber agora tudo que vai aprender no futuro	Família
Conseguir ler mentes	Família
Prever o futuro	Família
Ser um super-herói completamente desconhecido	Família
Ser um vilão famoso e temido	Família
Ter sete dedos em cada mão	Família
Ter sete dedos em cada pé	Família
Trabalhar no emprego atual por um ano ganhando o dobro	Família
Tirar um ano de folga ganhando o mesmo salário atual	Família
Sempre ficar preso no trânsito mas sempre achar vaga perfeita	Família
Nunca pegar trânsito mas sempre demorar uma eternidade para estacionar	Família
Ter papilas gustativas super-sensíveis	Família
Ter audição super-sensível	Família
Ter um corte mullet para sempre	Família
Ter cabelo permanente para sempre	Família
Ficar perdido na selva	Família
Ficar perdido no deserto	Família
Ser invisível	Família
Poder voar	Família
Passar todos os fins de semana em casa	Família
Passar todos os fins de semana ao ar livre	Família
Fazer festa com a Jennifer Lopez	Família
Fazer festa com a Kim Kardashian	Família
Receber uma serenata do Justin Bieber	Família
Receber uma serenata do Justin Timberlake	Família
Nunca conseguir fechar nenhuma porta que abrir	Família
Nunca conseguir abrir nenhuma porta que estiver fechada	Família
Usar roupas sempre muito grandes	Família
Usar roupas sempre dois tamanhos menores	Família
Ter mias sempre molhadas	Família
Ter uma pedrinha no sapato para sempre	Família
Ter a Celine Dion fazendo a trilha sonora da sua vida	Família
Ter o Eminem fazendo a trilha sonora da sua vida	Família
Ser o palhaço da turma	Família
Ser o queridinho do professor	Família
Mostrar em uma entrevista de emprego com calça manchada	Família
Fazer uma festa do pijama com a Anna Kendrick	Família
Ir a um show de comédia com a Rebel Wilson	Família
Comer chocolate na pizza	Família
Nunca mais comer chocolate	Família
Sempre optar por ler o livro ao invés de assistir ao filme	Família
Sempre optar por assistir ao filme ao invés de ler o livro	Família
Ter aula de tênis com a Serena Williams	Família
Ter aula de futebol com a Megan Rapinoe	Família
Ter aula de culinária com o Gordon Ramsay	Família
Ter aula de culinária com a Ina Garten	Família
Ser protagonista de um filme de Star Wars	Família
Ser protagonista de um filme da Marvel	Família
Usar salto alto na academia	Família
Usar tênis em um casamento	Família
Dominar todos os instrumentos musicais	Família
Dominar todos os tipos de esportes	Família
Ser reencarnado como uma mosca	Família
Ter tatuado o título do último livro que leu	Família
Ter tatuado o título do último seriado que assistiu	Família
Passar o fim de semana com piratas	Família
Passar o fim de semana com ninjas	Família
Receber seu salário inteiro em moedas de 1 centavo	Família
Nunca mais poder usar dinheiro em espécie	Família
Ter uma aula de tênis com a Serena Williams	Família
Fundar uma colônia em outro planeta	Família
Ser o líder de um país na Terra	Família
Morar em uma casa assombrada por fantasmas amigáveis	Família
Ter 1 desejo realizado hoje	Família
Ter 10 desejos realizados daqui a 20 anos	Família
Beber leite azedo	Família
Escovar os dentes com sabão	Família
Comer apenas comida crua pelo resto da vida	Família
Comer apenas refeições congeladas pelo resto da vida	Família
Celebrar o Carnaval com a Taylor Swift	Família
Celebrar o Natal com a Mariah Carey	Família
Nunca mais usar redes sociais	Família
Nunca mais assistir um filme	Família
Viver uma vida tranquila em uma cabana pequena no meio da floresta	Família
Nunca mais pagar em dinheiro	Família
Descobrir seu propósito de vida	Família
Nunca comer panetone de novo	Família
Nunca mais comer doces de Halloween	Família
Ter memória perfeita mas nunca poder esquecer nada	Família
Ficar sem celular por um mês	Família
Saber o dia exato da sua morte mas não como	Original
Nunca poder mentir mesmo nas situações mais constrangedoras	Original
Saber que seus amigos falam mal de você mas continuarem seus amigos	Original
Ter um melhor amigo que só está com você pelo seu dinheiro	Original
Ser muito famoso sem nenhuma privacidade	Original
Ter que fazer um discurso em público todo dia	Original
Nunca poder dormir mais de 4 horas por noite mas nunca ficar doente	Original
Perder o olfato completamente	Original
Sempre sentir cheiro ruim de quem está ao seu redor	Original
Envelhecer 3x mais rápido que o normal	Original
Perder todo o histórico de fotos do celular	Original
Nunca mais poder ouvir música	Original
Ganhar R$50.000 por mês em um trabalho que você odeia	Original
Ser demitido injustamente sem poder se defender	Original
Trabalhar 80 horas por semana sem férias	Original
Perder todas as suas economias de uma vez	Original
Ter todo o dinheiro do mundo mas nunca poder gastar nada	Original
Ficar preso em uma ilha deserta por um ano com uma pessoa que você odeia	Original
Perder a bagagem com documentos em viagem internacional	Original
Ter medo de avião e precisar viajar toda semana	Original
Viver em outro país sem falar o idioma	Original
Poder parar o tempo mas envelhecer normalmente na pausa	Original
Ser rico mas sem amigos	Original
Ser imortal e ver todos morrerem ao seu redor	Original
Saber todos os segredos da sua família	Original
Passar o Natal sozinho todo ano	Original
Decepcionar quem você mais ama uma vez para sempre	Original
Perder contato com todos os amigos por um ano	Original
Saber como vai morrer mas não quando	Original
Poder ler mentes mas ouvir todos os pensamentos ao mesmo tempo	Original
Esquecer tudo após 24 horas	Original
Nunca poder dizer a verdade	Original
Acreditar que te adoram quando na verdade te odeiam	Original
Não ter nenhum amigo mas ter todo o dinheiro do mundo	Original
Ser completamente desconhecido e nunca ser reconhecido	Original
Nunca poder falar em público	Original
Dormir 12 horas obrigatoriamente e ficar gripado todo mês	Original
Perder o paladar completamente	Original
Envelhecer 3x mais devagar mas com aparência de 12 anos para sempre	Original
Perder todos os contatos salvos	Original
R$5.000 em um trabalho que ama	Original
Ter que demitir seu melhor amigo	Original
Trabalhar 20 horas ganhando só o suficiente para sobreviver	Original
Gastar 30% de tudo que ganhar com coisas inúteis para sempre	Original
Ter exatamente o suficiente mas gastar como quiser	Original
Ficar em casa sozinho por dois anos	Original
Voltar de férias e descobrir que perdeu o emprego	Original
Ter medo de altura e morar no 30° andar	Original
Ficar no Brasil sem nunca poder sair	Original
Soltar um pum alto em uma reunião importante	Original
Gaguejar em um discurso importante ao vivo	Original
Poder voltar no tempo mas não poder mudar nada	Original
Ser pobre mas com os melhores amigos do mundo	Original
Ter uma vida curta mas repleta de felicidade	Original
Passar todas as festas de aniversário com quem você não suporta	Original
Ver seus amigos todo dia mas nunca ter uma conversa profunda	Original
Encontrar o amor verdadeiro hoje	Original
Ganhar na loteria no próximo ano	Original
Ficar preso por 5 anos	Original
Ficar em coma por uma década	Original
Ter mais 10 anos com seu parceiro	Original
Estar sempre mal-vestido para a ocasião	Original
Estar sempre superdressed para qualquer ocasião	Original
Que todos que você conhece possam ler seus pensamentos	Original
Que todos que você conhece tenham acesso ao seu histórico de internet	Original
Perder completamente a visão	Original
Perder todas as suas memórias	Original
Abrir mão do ar-condicionado e aquecimento para sempre	Original
Abrir mão da internet para sempre	Original
Trabalhar embaixo de sol escaldante para sempre	Original
Trabalhar em frio extremo para sempre	Original
Nunca poder sair durante o dia	Original
Nunca poder sair durante a noite	Original
Trabalhar horas extras com seu chefe irritante	Original
Passar o dia inteiro com sua sogra	Original
Ter cheiro de suor o tempo todo sem saber	Original
Sentir cheiro de suor em todo mundo ao seu redor	Original
Vomitar no seu herói	Original
Ter seu herói vomitando em você	Original
Usar as mesmas meias por um mês inteiro	Original
Usar a mesma cueca ou calcinha por uma semana	Original
Ser alto e de aparência comum	Original
Ter 90 cm de altura mas ser lindíssimo	Original
Perder a capacidade de ler	Original
Perder a capacidade de falar	Original
Ser bonito mas muito burro	Original
Ser feio mas um gênio	Original
Ter que trabalhar com um chefe irritante todo dia	Original
Ter que pedir um favor para o seu ex	Original
Pedir um favor para um completo desconhecido	Original
Morrer antes do seu parceiro	Original
Morrer depois do seu parceiro	Original
Ter um filho por ano durante 20 anos	Original
Nunca ter filhos	Original
Entrar sem querer no quarto dos seus pais	Original
Ser o melhor em algo que ninguém respeita	Original
Que espalhem uma mentira horrível sobre você	Original
Que espalhem verdades horríveis sobre você	Original
Perder todos os amigos menos o seu melhor amigo	Original
Perder seu melhor amigo mas manter todos os outros	Original
Ser obrigado a reviver o mesmo dia repetidamente por um ano inteiro	Original
Perder 3 anos do final da sua vida	Original
Dormir demais todo dia por uma semana inteira	Original
Ficar 4 dias sem dormir nada	Original
Morrer em 20 anos sem nenhum arrependimento	Original
Viver até os 100 anos com muitos arrependimentos	Original
Tomar gin com o Ryan Reynolds	Original
Tomar tequila com o The Rock	Original
Ir ao trabalho de salto alto todos os dias	Original
Ir ao trabalho de marcha ré todos os dias	Original
Passar um ano em uma zona de guerra	Original
Passar um ano preso	Original
Ter pele que muda de cor de acordo com suas emoções	Original
Ter tatuagens em todo corpo mostrando o que você fez ontem	Original
Caçar e abater sua própria carne	Original
Entrar para os livros de história por algo terrível	Original
Ser completamente esquecido após morrer	Original
Ter um terceiro mamilo	Original
Ter um dedo extra no pé	Original
Nunca receber presente mas sempre dar o presente perfeito	Original
Sempre receber presentes mas dar presentes horríveis para todos	Original
Beber água de um vaso sanitário	Original
Fazer xixi em uma caixa de areia de gato	Original
Perder um dia de vida toda vez que beijar alguém	Original
Ficar um mês sem tomar banho	Original
Passar um dia limpando a casa do seu pior inimigo	Original
Ter seu crush passando o dia limpando sua casa	Original
Passar um ano completamente sozinho	Original
Passar um ano sem ter casa	Original
Comprar apenas cuecas ou calcinhas usadas	Original
Usar apenas escovas de dente usadas	Original
Fazer um cruzeiro com seu chefe	Original
Nunca mais poder tirar férias	Original
Esquecer o aniversário do seu parceiro toda vez	Original
Esquecer o aniversário do namoro todo ano	Original
Mudar o resultado da última eleição	Original
Decidir o resultado da próxima eleição	Original
Dar um beijo no Chris Pratt, Pine e Evans	Original
Dar um beijo no Chris Hemsworth	Original
Ter pele que muda de cor conforme suas emoções	Original
Detectar toda mentira que ouvir	Original
Nunca ser pego em uma mentira	Original
Que todos soubessem todos os detalhes das suas finanças	Original
Que todos soubessem todos os detalhes da sua vida amorosa	Original
Ouvir sua música mais odiada em loop por um ano	Original
Ficar um ano inteiro sem ouvir música	Original
Ser vegano por um mês	Original
Comer só carne e laticínios por um mês	Original
Limpar o vômito de outra pessoa	Original
Limpar o sangue de outra pessoa	Original
Trabalhar para o Michael Scott	Original
Trabalhar para o Sr. Burns	Original
Terminar toda ligação com te amo	Original
Chamar seu parceiro pelo nome errado durante uma briga	Original
Ouvir mentira reconfortante	Original
Ouvir verdade desconfortável	Original
Ter um casamento temático de South Park	Original
Ter um velório temático de Family Guy	Original
Ter que caçar e colher toda a sua comida	Original
Comer McDonald's em todas as refeições para sempre	Original
Ter fortuna	Original
Ter fama	Original
Só poder ouvir uma música pelo resto da vida	Original
Só poder assistir um filme pelo resto da vida	Original
Ser caçado pela polícia por um crime que não cometeu	Original
Ser perseguido por um serial killer de verdade	Original
Viver uma vida dramática em uma mansão na cidade grande	Original
Encontrar sua alma gêmea	Original
Ter o estilo da Duquesa Meghan	Original
Ter o estilo da Duquesa Kate	Original
Viver até os 200 anos aparentando a sua idade real	Original
Aparentar 22 anos a vida toda mas morrer aos 65	Original
Ser amado pelo público mas odiado pela família e amigos	Original
Ser odiado pelo público mas amado por família e amigos	Original
Ser casado com alguém incrível que não te acha atraente	Original
Ser casado com alguém feio que te acha lindo	Original
Ter um terceiro ouvido	Original
Ter um terceiro olho	Original
Maratonar Sex and the City	Original
Maratonar Girls	Original
Ser rico mas sem amigos	Original
Ser pobre mas muito popular	Original
Ter seu estilo criticado pela Anna Wintour	Original
Ter seu estilo criticado pela Miranda Priestly	Original
Andar descalço em um banheiro público	Original
Andar descalço em um campo de urtigas	Original
Ninguém se lembrar de você no reencontro da turma após 20 anos	Original
Todo mundo comentar como você envelheceu	Original
Ser um gênio que todos acham idiota	Original
Ser um idiota que todos acham gênio	Original
Ser daltônico	Original
Ser punido por um crime que não cometeu	Original
Ter alguém roubar o crédito de uma conquista sua	Original
Comer uma refeição mal cozida	Original
Comer uma refeição completamente queimada	Original
Ter seu chefe lendo todas as suas mensagens	Original
Ter seus pais lendo todas as suas mensagens	Original
Ter seu primeiro filho aos 18 anos	Original
Ter seu primeiro filho aos 50 anos	Original
Parar de escovar o cabelo para sempre	Original
Parar de escovar os dentes para sempre	Original
Nunca conseguir guardar os segredos de ninguém	Original
Ter alguém que conta todos os seus segredos	Original
Ser reencarnado como uma mosca	Original
Só por beber água morna pelo resto da vida	Original
Dar as melhores festas mas ter que limpar tudo sozinho depois	Original
Nunca mais poder ir a uma festa	Original
Voltar ao passado e reencontrar entes queridos que já morreram	Original
Nunca mais poder falar em público	Original
Ter os lábios da Angelina Jolie	Original
Ter o cabelo da Jennifer Aniston	Original
Permanecer com a aparência física de hoje para sempre	Original
Permanecer com a situação financeira de hoje para sempre	Original
Enfrentar um apocalipse zumbi	Original
Enfrentar um apocalipse de robôs	Original
Ficar sozinho a vida toda	Original
Ser cercado de pessoas extremamente chatas	Original
Ouvir toda conversa que é sobre você	Original
Ser capaz de desfazer qualquer coisa que disse	Original
Viver um episódio de Orange Is the New Black	Original
Viver um episódio de Black Mirror	Original
Saber quando vai morrer	Original
Saber como vai morrer	Original
Perder todos os dentes	Original
Tomar pílula diária de nutrientes que sacia mas nunca mais comer	Original
Comer o que quiser mas nunca se sentir saciado	Original
Poder apagar suas próprias memórias	Original
Poder apagar as memórias de outra pessoa	Original
Salvar seu melhor amigo se isso significasse a morte de 5 desconhecidos	Original
Salvar 5 desconhecidos se isso significasse a morte do seu melhor amigo	Original
Encontrar R$500 flutuando em um banheiro público	Original
Ser caçado por um serial killer de verdade	Original
Nunca conseguir fazer nada a tempo	Original
Ser pedante com o horário a vida inteira	Original
Ficar sem internet por um mês	Original
Viver em um episódio de sobrevivência na TV	Original
Ser criticado sempre	Original
Ser ignorado sempre	Original
Trabalhar ao lado do Dwight Schrute	Original
Trabalhar ao lado do Homer Simpson	Original
Casar com a pessoa mais bonita que já viu	Original
Casar com o melhor cozinheiro que já conheceu	Original
Ser cantado por alguém 20 anos mais velho que você	Original
Ser cantado por alguém 20 anos mais novo que você	Original
Donar todos os seus órgãos para quem precisa	Original
Donar seu corpo inteiro para a ciência	Original
Vender todos os seus bens e posses	Original
Vender um dos seus órgãos	Original
Ser perguntado a mesma coisa repetidamente para sempre	Original
Nunca mais ser falado diretamente por ninguém	Original
Só poder falar com uma pessoa por dia	Original
Ser sempre a primeira pessoa a saber de qualquer notícia	Original
Ter acesso ao email de todos mas todos terem acesso ao seu	Original
Viver uma vida pacífica em uma cabana no interior	Original
